鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務,source_file
"內湖區","租賃房屋","臺北市內湖區五分街５８號六樓","0.0","","","","1140312","土地0建物1車位0","六層","9","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0861203","62.35","1","1","1","有","有","有","15000","241","","0.0","0","","RPPOMLOKLHKGFCA57CC","獨立套房","有","1140312~1150311","有","冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
"中山區","租賃房屋","臺北市中山區林森北路３６３號８樓之３","0.0","","","","1140314","土地0建物1車位0","八層","18","住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造","0980916","66.62","1","1","1","有","有","有","52000","781","","0.0","0","租金總額含管理費；網路費；其他租金內含所得稅、健保補充保費；","RPROMLOKLHKGFCA77CC","整棟(戶)出租","有","1140401~1160331","有","冷氣、熱水器、洗衣機、電視機、冰箱、網路","","a_lvr_land_c.csv"
"中山區","租賃房屋","臺北市中山區復興北路８２號７樓之１","0.0","","","","1140313","土地0建物1車位0","七層","12","辦公商業大樓","商業用","鋼筋混凝土造","0700320","54.86","3","1","0","有","有","無","30000","547","","0.0","0","","RPXOMLOKLHKGFCA38CC","","有","1140325~1160324","有","冷氣","","a_lvr_land_c.csv"
"內湖區","租賃房屋","臺北市內湖區民權東路６段１５０之１號７樓之１７","0.0","","","","1140314","土地0建物1車位0","七層","14","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0980106","40.22","1","0","1","有","有","有","18500","460","","0.0","0","","RPSPMLOKLHKGFCA97CC","獨立套房","有","1140315~1150314","有","熱水器、洗衣機、電視機","社會住宅包租轉租","a_lvr_land_c.csv"
"信義區","租賃房屋","臺北市信義區松仁路２６０號２樓","0.0","","","","1140312","土地0建物1車位0","二層","16","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0851007","134.21","2","2","2","有","有","有","32000","238","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。","RPRNMLOKLHKGFDA77CC","整棟(戶)出租","有","1140325~1150324","有","冷氣、熱水器、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
"松山區","租賃房屋","臺北市松山區復興南路一段４９號４樓之１","0.0","","","","1140312","土地0建物1車位0","四層","10","華廈(10層含以下有電梯)","商業用","鋼筋混凝土造","0850824","31.38","1","1","1","有","有","有","18000","574","","0.0","0","","RPVNMLOKLHKGFDA18CC","獨立套房","有","1140312~1151027","有","冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"松山區","租賃房屋","臺北市松山區八德路四段３８９巷１０號三樓","0.0","","","","1140312","土地0建物1車位0","三層","5","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0720516","71.02","2","1","1","有","無","有","23000","324","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。","RPTOMLOKLHKGFDA08CC","整棟(戶)出租","無","1140321~1150320","無","冷氣、熱水器、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"信義區","租賃房屋","臺北市信義區光復南路４９５號６樓之２","0.0","","","","1140314","土地0建物1車位0","六層","20","辦公商業大樓","商業用","鋼骨混凝土造","0850320","159.37","2","1","0","有","有","無","79645","500","","0.0","0","","RPWOMLOKLHKGFDA38CC","","有","1140401~1160331","有","冷氣","","a_lvr_land_c.csv"
"南港區","租賃房屋","臺北市南港區舊莊街一段３巷３弄１０號２樓","0.0","","","","1140312","土地0建物1車位0","二層","4","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0641231","96.4","3","2","1","有","無","有","22000","228","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。多人共同承租2；","RPPPMLOKLHKGFDA77CC","整棟(戶)出租","無","1140325~1150324","無","冷氣、熱水器、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"松山區","租賃房屋","臺北市松山區八德路三段１２巷７０弄１號","0.0","","","","1140313","土地0建物1車位0","一層","7","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0810630","176.6","3","2","2","有","有","無","100000","566","","0.0","0","含增建或未登記建物；","RPTPMLOKLHKGFDA18CC","","無","1140401~1200331","有","","","a_lvr_land_c.csv"
