鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,source_file
"文山區","房地(土地+建物)+車位","臺北市文山區木柵路一段","13.98","住","","","1140314","土地2建物1車位1","六層","34","住宅大樓(11層含以上有電梯)","住家用","見其他登記事項","","111.04","2","2","2","有","無","29940000","306551","坡道平面","24.79","3500000","","RPPNMLRKLHKGFAA47CB","元利四季莊園","A棟06F-A03號","","a_lvr_land_b.csv"
"文山區","房地(土地+建物)+車位","臺北市文山區木柵路一段","13.18","住","","","1140316","土地2建物1車位1","二十七層","34","住宅大樓(11層含以上有電梯)","住家用","見其他登記事項","","106.15","2","2","2","有","無","30780000","343904","坡道平面","24.79","2800000","","RPQNMLRKLHKGFAA57CB","元利四季莊園","A棟27F-A08號","","a_lvr_land_b.csv"
"大同區","房地(土地+建物)","臺北市大同區民權西路160巷26弄","21.21","住","","","1140315","土地20建物1車位0","十一層","12","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","","137.52","3","2","2","有","無","46680000","339442","","0.0","0","","RPQNMLRKLHKGFBA67CB","大同新豐采","A1-11F號","","a_lvr_land_b.csv"
"大同區","房地(土地+建物)+車位","臺北市大同區民權西路160巷26弄","18.49","住","","","1140315","土地20建物1車位1","三層","12","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","","157.58","3","2","2","有","無","39880000","311812","坡道平面","37.7","2500000","","RPRNMLRKLHKGFBA77CB","大同新豐采","A5-3F號","","a_lvr_land_b.csv"
"大同區","房地(土地+建物)+車位","臺北市大同區民權西路160巷26弄","19.83","住","","","1140316","土地20建物1車位1","十二層","12","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","","166.31","3","2","3","有","無","46880000","341575","坡道平面","37.7","2950000","","RPSNMLRKLHKGFBA87CB","大同新豐采","A5-12F號","","a_lvr_land_b.csv"
"中山區","房地(土地+建物)+車位","臺北市中山區新福里吉林路329巷15號","27.61","住","","","1140314","土地39建物1車位1","二層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","","186.3","3","2","2","有","無","66000000","403486","坡道平面","31.4","3500000","本戶雨遮2.21坪雨遮不計價","RPPNMLRKLHKGFCA67CB","鄉林中山賦","B棟B7-2F號","","a_lvr_land_b.csv"
"信義區","房地(土地+建物)+車位","臺北市信義區基隆路一段83巷與基隆路一段37巷交叉口","12.04","住","","","1140315","土地15建物1車位1","十八層","23","住宅大樓(11層含以上有電梯)","住家用","鋼骨鋼筋混凝土造","","148.87","2","2","2","有","無","53300000","441937","坡道平面","36.75","3750000","","RPPNMLSKLHKGFDA87CB","國美榕遇","A棟A9-18F號","","a_lvr_land_b.csv"
"信義區","房地(土地+建物)","臺北市信義區基隆路一段83巷與基隆路一段37巷交叉口","8.21","住","","","1140313","土地15建物1車位0","十五層","23","住宅大樓(11層含以上有電梯)","住家用","鋼骨鋼筋混凝土造","","76.4","2","2","1","有","無","35780000","468325","","0.0","0","","RPQNMLSKLHKGFDA97CB","國美榕遇","A棟A7-15F號","","a_lvr_land_b.csv"
"北投區","房地(土地+建物)","臺北市北投區中央北路二段308號","17.82","住","","","1140315","土地9建物1車位0","九層","14","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","","93.56","2","2","2","有","無","24150000","258123","","0.0","0","","RPQNMLSKLHKGFEA08CB","華威豐耘","D-09F號","","a_lvr_land_b.csv"
"北投區","房地(土地+建物)+車位","臺北市北投區文林北路與文承路交叉口","28.47","住","","","1140319","土地1建物1車位1","十四層","18","住宅大樓(11層含以上有電梯)","住家用","鋼骨鋼筋混凝土造","","189.62","3","2","2","有","無","60370000","385449","坡道平面","41.04","3100000","","RPQNMLTKLHKGFEA28DB","麟 璞真","B-14F號","","a_lvr_land_b.csv"
