編號,鄉鎮市區,土地位置建物門牌,租賃年月日,總額元,出租型態,租賃天數,主要用途,主要用途分類,租賃層次,租賃層次分類,總樓層數,建物型態,交易筆棟數-土地,交易筆棟數-建物,租賃住宅服務,有無管理組織,有無管理員,有無附傢俱,有無電梯,主要建材,主要建材分類,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,建物總面積平方公尺,單價元平方公尺,建築完成年月,屋齡,屋齡分類,附屬設備-冷氣,附屬設備-熱水器,附屬設備-洗衣機,附屬設備-電視機,附屬設備-冰箱,附屬設備-瓦斯或天然氣,附屬設備-有線電視,附屬設備-網路
RPTNMLQJRHIGFBA28CC,萬華區,臺北市萬華區環河南路二段２５０巷３３弄５號六樓,2023-08-18,28000,整棟(戶)出租,365,住家用,住宅類,六層,低樓層,16,住宅大樓(11層含以上有電梯),2,1,社會住宅代管,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,3,3,1,1,128.75,217,1987-10-30,35,30-40年,1,1,1,1,1,0,0,0
RPWNMLQJRHIGFBA58CC,萬華區,臺北市萬華區武成街３５巷７號４樓,2023-09-01,25000,整棟(戶)出租,365,住家用,住宅類,四層,低樓層,4,公寓(5樓含以下無電梯),0,1,社會住宅代管,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,3,2,1,1,98.86,253,1978-11-23,44,40年以上,1,1,1,1,1,1,0,0
RPPNMLQJRHIGFCA97CC,中山區,臺北市中山區合江街３６巷１９號三樓,2023-08-30,20000,整棟(戶)出租,365,住家用,住宅類,三層,低樓層,5,公寓(5樓含以下無電梯),0,1,社會住宅代管,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,70.19,285,1977-03-10,46,40年以上,0,1,0,0,0,1,0,0
RPRNMLQJRHIGFCA18CC,中山區,臺北市中山區錦州街３０巷１１號七樓之２６,2023-09-01,12000,獨立套房,365,住家用,住宅類,七層,低樓層,10,華廈(10層含以下有電梯),0,1,社會住宅包租轉租,1,1,0,1,鋼筋混凝土造,鋼筋混凝土造類,1,0,1,1,32.88,365,1979-06-13,44,40年以上,1,1,1,0,1,0,0,0
RPPOMLQJRHIGFDA18CC,松山區,臺北市松山區復興北路４８９號３樓之３,2023-08-25,16956,整棟(戶)出租,365,住家用,住宅類,三層,低樓層,11,住宅大樓(11層含以上有電梯),0,1,NA,1,1,0,1,鋼筋混凝土造,鋼筋混凝土造類,0,0,0,0,30.72,552,2007-02-16,16,10-20年,0,0,1,1,1,0,0,0
RPVOMLQJRHIGFDA78CC,南港區,臺北市南港區研究院路一段９９號１８樓之１,2023-08-24,32550,整棟(戶)出租,183,集合住宅,住宅類,十八層,中樓層,18,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,56.82000000000001,573,1998-11-09,24,20-30年,1,1,1,1,1,0,0,0
RPWOMLQJRHIGFDA88CC,南港區,臺北市南港區研究院路一段９９號１５樓之６,2023-08-29,63800,整棟(戶)出租,730,集合住宅,住宅類,十五層,中樓層,18,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,3,1,2,1,124.66,512,1998-11-09,24,20-30年,1,1,1,1,1,1,0,0
RPSQMLQJRHIGFDA68CC,南港區,臺北市南港區成福路１６８號三樓之６,2023-09-01,17000,獨立套房,365,住家用,住宅類,三層,低樓層,6,華廈(10層含以下有電梯),0,1,社會住宅包租轉租,1,1,0,1,鋼筋混凝土造,鋼筋混凝土造類,1,0,1,1,45.24,376,1995-06-27,28,20-30年,1,1,1,0,0,0,0,0
RPVQMLQJRHIGFDA98CC,信義區,臺北市信義區松仁路２９５號１樓,2023-08-17,21500,整棟(戶)出租,365,住家用,住宅類,一層,低樓層,4,公寓(5樓含以下無電梯),1,1,社會住宅代管,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,80.0,269,1974-07-01,49,40年以上,1,1,1,0,1,0,0,0
RPXQMLQJRHIGFDA56CC,松山區,臺北市松山區南京東路五段２３９號十八樓之８,2023-08-10,58000,獨立套房,730,住家用,住宅類,十八層,中樓層,18,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,69.77,831,2009-03-31,14,10-20年,1,1,1,1,1,1,0,0
