鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務,source_file,x,y,最近捷運站,捷運站距離(公尺),文湖線,淡水信義線,新北投支線,松山新店線,小碧潭支線,中和新蘆線,板南線,環狀線,通車日期
中山區,租賃房屋,臺北市中山區吉林路３６９號二樓之４,0.0,,,,1140311,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,681219.0,21.42,4,1,3,有,無,有,14500,677,,0.0,0,,RPTNMLNKLHKGFCA77CC,分租套房,無,1140311~1150310,有,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租,a_lvr_land_c.csv,121.530509982971,25.065068996076,中山國小,509.1029101714617,0,0,0,0,0,1,0,0,2010-11-03
中山區,租賃房屋,臺北市中山區吉林路３６９號二樓之４,0.0,,,,1140311,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,681219.0,21.42,4,1,3,有,無,有,14500,677,,0.0,0,,RPVNMLNKLHKGFCA97CC,分租套房,無,1140311~1150310,有,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租,a_lvr_land_c.csv,121.530509982971,25.065068996076,中山國小,509.1029101714617,0,0,0,0,0,1,0,0,2010-11-03
中山區,租賃房屋,臺北市中山區林森北路５８７號１０樓之９,0.0,,,,1140313,土地0建物1車位0,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726.0,88.99000000000001,1,1,1,有,有,有,51000,573,,0.0,0,租金總額含管理費；其他租金內含所得稅、健保補充保費；續租案件；,RPWOMLNKLHKGFCA18CC,整棟(戶)出租,有,1140423~1150422,有,冷氣、熱水器、洗衣機、電視機、冰箱,,a_lvr_land_c.csv,121.525832964818,25.066024994043,中山國小,355.13728660212905,0,0,0,0,0,1,0,0,2010-11-03
中山區,租賃房屋,臺北市中山區復興北路４００號１３樓之４,0.0,,,,1140311,土地0建物1車位0,十三層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,751125.0,175.51999999999998,4,2,3,有,有,有,52000,296,,0.0,0,,RPPPMLNKLHKGFCA57CC,整棟(戶)出租,有,1140401~1160331,有,冷氣、熱水器、瓦斯或天然氣,一般包租,a_lvr_land_c.csv,121.544015995014,25.061681994731,中山國中,95.2058414966826,1,0,0,0,0,0,0,0,1996-03-28
中山區,租賃房屋,臺北市中山區新生北路２段６２巷１６號１２樓之２,0.0,,,,1140313,土地0建物1車位0,十二層,19,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050322.0,128.32,3,1,2,有,有,有,70000,546,,0.0,0,租金總額含管理費；其他租金內含所得稅、健保補充保費；續租案件；,RPQPMLNKLHKGFCA67CC,整棟(戶)出租,有,1140401~1160331,有,冷氣、熱水器、洗衣機、電視機、冰箱,,a_lvr_land_c.csv,121.526681213419,25.056073789045,雙連,633.8999098292036,0,1,0,0,0,0,0,0,1997-03-28
松山區,租賃房屋,臺北市松山區富錦街４０３號,0.0,,,,1140311,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,580911.0,154.77,0,0,0,無,無,無,140000,905,,0.0,0,每月壹拾肆萬元租金含租賃所得之代扣繳稅額，不含二代健保補充保費。租金總額含稅；,RPSNMLNKLHKGFDA77CC,,無,1140401~1200331,無,冷氣,,a_lvr_land_c.csv,121.560100029018,25.060819999809,松山機場,869.6827824980638,1,0,0,0,0,0,0,0,2009-07-04
松山區,租賃房屋,臺北市松山區光復北路１４６號７樓,0.0,,,,1140313,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,720701.0,117.91,3,2,2,有,有,無,47000,399,,0.0,0,,RPOOMLNKLHKGFDA47CC,整棟(戶)出租,無,1140401~1170331,有,,,a_lvr_land_c.csv,121.556899986023,25.052420997551,台北小巨蛋,544.8374002222006,0,0,0,1,0,0,0,0,2014-11-15
士林區,租賃房屋,臺北市士林區後港街１６０號７樓,0.0,,,,1140311,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860822.0,102.54,2,2,2,有,有,有,35000,341,,0.0,0,,RPQNMLNKLHKGFEA67CC,整棟(戶)出租,有,1140313~1150312,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管,a_lvr_land_c.csv,121.520477012508,25.08715300592,劍潭,528.740599386595,0,1,0,0,0,0,0,0,1997-03-28
士林區,租賃房屋,臺北市士林區天母東路８巷２１號６樓之１０,0.0,,,,1140311,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,650802.0,45.16,1,0,1,有,有,有,17500,388,,0.0,0,,RPWNMLNKLHKGFEA28CC,獨立套房,有,1140320~1150319,有,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅包租轉租,a_lvr_land_c.csv,121.532446289622,25.11721116059,明德,1601.7468409810022,0,1,0,0,0,0,0,0,1997-03-28
大安區,租賃房屋,臺北市大安區新生南路一段１３９巷１２號２樓,0.0,,,,1140313,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,650721.0,139.79,3,2,2,有,有,無,47000,336,,0.0,0,含增建或未登記建物；,RPWNMLNKLHKGFFA38CC,整棟(戶)出租,無,1140314~1160313,有,冷氣、熱水器,,a_lvr_land_c.csv,121.533854027062,25.036527987121,大安森林公園,320.75362330891926,0,1,0,0,0,0,0,0,2013-11-24
