"鄉鎮市區","總額元","租賃年月日","出租型態","總樓層數","建物型態","租賃住宅服務","租賃天數","有無電梯","建物現況格局-房","建物現況格局-廳","建物現況格局-衛","建物總面積平方公尺","屋齡","附屬設備-冷氣","附屬設備-熱水器","附屬設備-洗衣機","附屬設備-電視機","附屬設備-瓦斯或天然氣","附屬設備-有線電視","附屬設備-網路","捷運站距離(公尺)","附近建物單位成交均價","捷運線","Predicted","AbsError","MAPE"
"內湖區",18000,19612,"整棟(戶)出租",12,"住宅大樓(11層含以上有電梯)","社會住宅包租轉租",365,1,1,0,1,43.54,16,1,0,1,1,0,0,0,1163.22771420466,361.230769230769,"文湖線",18473.5287866722,473.528786672225,0.0263071548151236
"南港區",18000,19612,"整棟(戶)出租",7,"華廈(10層含以下有電梯)","社會住宅代管",365,1,3,2,2,98.44,29,0,1,0,0,1,0,0,1526.97544550878,205.555555555556,"文湖線",21039.8324449759,3039.83244497585,0.168879580276436
"南港區",16500,19614,"整棟(戶)出租",5,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,3,2,2,119.05,39,1,1,1,1,1,0,0,1881.58804693939,243.181818181818,"板南線",23914.4723363801,7414.47233638011,0.449361959780613
"南港區",18400,19615,"整棟(戶)出租",16,"住宅大樓(11層含以上有電梯)","社會住宅代管",365,1,1,0,1,43.11,27,1,1,0,0,0,0,0,322.737676924171,516.6,"松山新店線",16217.4598924566,2182.54010754338,0.118616310192575
"松山區",75000,19600,"未知",12,"住宅大樓(11層含以上有電梯)","未知",1095,1,0,0,0,173.44,46,1,1,0,0,0,0,0,532.173216652105,434.333333333333,"板南線",74356.7399037767,643.260096223341,0.00857680128297788
"松山區",41000,19625,"整棟(戶)出租",7,"華廈(10層含以下有電梯)","未知",1826,1,3,2,2,128.16,40,1,1,0,0,0,0,0,531.439135193009,350.125,"松山新店線",40804.5428911,195.457108900053,0.00476724655853787
"大安區",13000,19622,"獨立套房",7,"華廈(10層含以下有電梯)","社會住宅代管",365,1,1,1,1,35.74,36,1,1,0,1,0,0,0,307.817926754869,597.766666666667,"板南線",15662.1534423421,2662.15344234211,0.204781034026316
"大同區",52500,19612,"整棟(戶)出租",19,"住宅大樓(11層含以上有電梯)","未知",730,1,1,1,1,61.64,4,1,1,1,1,1,0,0,116.009102344176,659.566666666667,"淡水信義線",43910.2194975638,8589.7805024362,0.16361486671307
"大同區",44550,19618,"整棟(戶)出租",19,"住宅大樓(11層含以上有電梯)","未知",365,1,1,1,1,67.47,4,1,1,1,1,1,0,0,116.009102344176,659.566666666667,"淡水信義線",51285.7185182379,6735.71851823787,0.151194579533959
"大安區",54000,19628,"未知",12,"辦公商業大樓","未知",730,1,0,0,0,160.83,45,1,0,0,0,0,0,0,336.439800630873,616.888888888889,"淡水信義線",76686.6186931643,22686.6186931643,0.420122568391932
"中正區",45000,19614,"未知",6,"店面(店鋪)","未知",1918,1,0,1,1,93.34,20,0,0,0,0,0,0,0,385.928885899939,527,"松山新店線",63810.641148356,18810.641148356,0.418014247741245
"中正區",26000,19615,"整棟(戶)出租",4,"公寓(5樓含以下無電梯)","社會住宅包租轉租",365,0,2,1,1,83.39,48,1,1,0,0,1,0,0,491.034303655338,439.733333333333,"淡水信義線",21132.5682963878,4867.43170361217,0.187208911677391
"士林區",30000,19627,"整棟(戶)出租",7,"華廈(10層含以下有電梯)","社會住宅代管",365,1,2,1,1,65.32,46,0,1,0,0,0,0,0,1595.01408239615,456,"淡水信義線",18807.8329194612,11192.1670805388,0.37307223601796
